user_name,location,friends,followers,created_date,text_raw
JonThrobs,Parts Unknown,222,43,2020-12-13T23:06:57,"RT @DanaStarr18: There was already enough to vote against Loeffler and Perdue, but then I heard about them BOTH buying stock in body bags.…"
LSchneerer,In United States Of America,902,1814,2020-12-13T23:06:57,"RT @BlackFlagArmy10: Just got my girl she's a sexy bitch 

Springfield Armory SAINT Victor AR-15 5.56 Semi Auto Rifle 16"" Barrel M-LOK Free…"
VaraSueTamminga,"WEBSTER, TEXAS",4,23,2020-12-13T23:06:58,Wall Street Journal denounced after ‘sexist’ article calls Jill Biden ‘kiddo’ https://t.co/54jmYE1zdB
grassho70900316,"Los Angeles, CA",2926,163,2020-12-13T23:06:59,"RT @USATODAY: Biden spokesman Michael LaRosa condemned the Journal and the editor in charge of its op-eds, tweeting the outlet ""should be e…"
rhcm123,"New Jersey, mostly",1209,1461,2020-12-13T23:06:59,"RT @BW: For all the talk of ""Tesla fighters,"" Fiat Chrysler, Ford and General Motors were fine to let Elon Musk have his fun and his fun-ho…"
HarishN59407067,"Bay Area, California",39,6,2020-12-13T23:06:59,RT @ChartMill: $PHM showing up in our top Strong Growth selection and may be ready for breakout. https://t.co/WnzB4kXVPi
RSLC,"Washington, DC",2776,50559,2020-12-13T23:07:00,"""Shelter-in-place, or as we call it, forcibly imprisoning people in their homes, against all their constitutional r… https://t.co/YdPGF3P8Hh"
ChristineLoner6,None,4066,3420,2020-12-13T23:07:01,@ArmyMom0812 @Montejp231 @inezsneks @jewishaction @CheriJacobus @KLoeffler Yes. She and the other Georgia repusivel… https://t.co/q1UllelHOO
optionplug,United States ,0,82,2020-12-13T23:07:01,"Pfizer make money with vaccine which makes it a very attractive pick for our short and long term calls

We have a f… https://t.co/JK6nFGcGJ8"
Nextzlee,Matteo#0001,174,1455,2020-12-13T23:07:02,@EatShoe42 you should get an email soon saying your order was canceled due to stock numbers
ChartMill,Belgium,371,6422,2020-12-13T23:07:04,"Although the technical rating is bad, $YANG does present a nice setup opportunity. https://t.co/hAeqibkGm8 https://t.co/9KadzMRuAx"
PrincessLuna18x,"Scotland, United Kingdom",1449,3919,2020-12-13T23:07:05,"RT @TheOnlineRando: Dreaming of destruction? Stock up on first aid supplies, @fatfemmefrisky is here.

[femdom findom femaledomination fina…"
Lpowellrn2Lacey,None,754,44,2020-12-13T23:07:06,RT @Hotel3_: I was just informed from more than one reliable source that this weekend would be a very good time to stock up. Two weeks food…
Ps5Eb,None,0,0,2020-12-13T23:07:06,"@EBGamesAus Ringwood and Lilydale stores have given their customers their 2021 shipment PS5’s
I know other stores h… https://t.co/Vd9JVo0N5D"
nicklmg,"Surrey, British Columbia",411,46442,2020-12-13T23:07:06,@Daniel57557280 Yeah it’s tough haha... have to speak with our shipping provider next week to see what they can do… https://t.co/hDcwNj8xKA
ChartMill,Belgium,371,6422,2020-12-13T23:07:07,$SLA.L: The long and short term trends are both positive. This is looking good! https://t.co/RPPl5xKDAy #ChartMill… https://t.co/CWt2id0vYL
RevShark,"Anna Maria, FL, Conover, NC",489,15918,2020-12-13T23:07:07,I picked six stock back in Dec and early Jan for 2020 The overall return currently is about 57%.  There was one maj… https://t.co/G2TnX4QoSa
Airdropnotecom,Blockchain,297,898,2020-12-13T23:07:08,"RT @Airdropnotecom: #Bitcoin #Satoshi #crypto #blockchain #Airdrop

Get a tokenised stock of up to $100 in value as
50% of trading commissi…"
Harrowdown2018,United States,4450,4027,2020-12-13T23:07:08,"@TielleTeaKAG I'm not trying to defend Barr but he owns/owned stock in @DominionEnergy, not @dominionvoting.  Huge difference."
JackyBancayan,"New York, NY",344,315,2020-12-13T23:07:09,RT @washingtonpost: Perspective: The Wall Street Journal column about Jill Biden is worse than you thought https://t.co/5Q3ubkie2c
jgordon_23,"Aberdeen, Scotland",4039,205,2020-12-13T23:07:10,"RT @davelackie: Bonus ""Happy Holidays, Followers"" Twitter Giveaway. I'm saying ""season's greetings"" to everyone by giving away Givenchy Liv…"
stocks_eagle,"Calgary, Alberta",128,126,2020-12-13T23:07:10,"Get ready guys, its green AF 😂😂😂 https://t.co/MlKupLbPOX"
